Device,SMAPE,in_len,out_len,lr,batch_size,activation,dropout,expansion_coefficient_dim,include_hour,layer_widths,num_blocks,num_layers
3,8.667993545532227,25,2,4.093295136147382e-05,64,LeakyReLU,0.3728594113167854,22.0,False,"[128,256]",5.0,2.0
4,14.692801237106323,16,2,0.0007880110709998502,64,PReLU,0.12139037309734133,15.0,True,"[256,256]",4.0,4.0
7,6.359698623418808,11,1,1.02901202092791e-05,64,LeakyReLU,0.14847195789921885,25.0,False,"[64,256]",2.0,1.0
8,35.893598198890686,17,2,0.0002767905851381875,256,RReLU,0.12479128813638113,40.0,False,"[256,256]",2.0,4.0
10,5.048039555549622,8,1,2.93149359372691e-05,256,Tanh,0.29697774609372535,37.0,True,"[256,256]",2.0,4.0
11,6.698068231344223,13,3,1.916646706147226e-05,128,PReLU,0.11919100606493405,37.0,False,"[64,64]",5.0,2.0
13,16.410300135612488,15,2,0.00020426365284010348,128,LeakyReLU,0.2262088719312516,49.0,True,"[64,256]",7.0,2.0
15,74.61313009262085,29,2,0.0008443433027003904,32,RReLU,0.23952237554673883,22.0,True,"[256,256]",4.0,3.0
16,12.44552880525589,22,1,1.6229877237246443e-05,128,LeakyReLU,0.49996779256589996,37.0,False,"[64,64]",9.0,3.0
18,23.849692940711975,14,2,2.118188052594129e-05,128,Tanh,0.3081830887732183,29.0,True,"[128,128]",2.0,1.0
19,63.528138399124146,9,2,1.1602053425161313e-05,64,PReLU,0.4587308529283267,21.0,True,"[64,128]",8.0,1.0
20,14.12232369184494,22,2,5.983769082639947e-05,128,PReLU,0.4007796687192423,49.0,False,"[128,128]",4.0,2.0
21,21.10118716955185,14,2,0.0006166484978215427,128,PReLU,0.29086314639655814,13.0,True,"[128,128]",2.0,2.0
22,4.512357339262962,26,3,3.2149902857093545e-05,32,LeakyReLU,0.3077134323690189,13.0,False,"[64,256]",2.0,2.0
25,6.625842303037643,27,1,6.515473961382599e-05,32,ReLU,0.17979872114641254,38.0,False,"[256,256]",3.0,4.0
26,4.621636867523193,18,1,0.0004583873456103322,256,ReLU,0.24733627706109274,24.0,False,"[128,128]",1.0,2.0
29,5.412709340453148,19,3,2.2178473854742533e-05,128,RReLU,0.16256224887189405,34.0,False,"[64,256]",2.0,4.0
30,14.108991622924805,21,3,0.0002661106893532233,64,RReLU,0.40534687147226006,39.0,False,"[128,128]",6.0,4.0
31,5.4146382957696915,8,2,0.00013170266215325506,128,RReLU,0.21521473907948083,17.0,True,"[128,128]",7.0,2.0
32,5.26709258556366,17,2,8.028687109269197e-05,128,PReLU,0.16097205050917532,27.0,False,"[128,256]",1.0,1.0
35,5.228540673851967,8,1,1.0845744989935676e-05,64,RReLU,0.12696099533846875,24.0,False,"[64,128]",9.0,4.0
37,7.047963887453079,25,3,0.00011617803469021661,32,RReLU,0.46196845027828587,30.0,False,"[128,128]",7.0,2.0
39,9.068214148283005,13,1,1.390928608606132e-05,256,RReLU,0.13593404418217125,12.0,False,"[128,256]",7.0,3.0
41,10.330862551927567,11,1,4.968856873118301e-05,128,LeakyReLU,0.24330113181148447,16.0,True,"[64,128]",8.0,2.0
43,17.26725399494171,28,3,0.00030615813685808455,32,LeakyReLU,0.22714423791632135,17.0,False,"[256,512]",1.0,1.0
45,6.363126635551453,23,2,0.00020394292701248905,128,RReLU,0.20560205296728035,30.0,False,"[128,128]",3.0,2.0
46,5.3282685577869415,28,1,0.00014772192550332008,64,ReLU,0.23104615015324714,32.0,False,"[64,64]",7.0,4.0
49,12.449882179498672,26,2,0.00045665398081776995,64,Tanh,0.3640539916449532,20.0,True,"[64,128]",7.0,3.0
50,7.291492819786072,24,3,0.0003794152490812123,32,RReLU,0.47434369851727387,17.0,False,"[256,512]",4.0,2.0
